name;Style/IconStyle/Icon/href;longitude;latitude;municipio__id;municipio;uf
"Mineradora: Empresa de Mineração Esperança Sa 
Barragem: SUMP DE CONTENÇÃO DE SEDIMENTOS";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.2240833333333;-20.1109166666667;3109006;Brumadinho;MG
"Mineradora: Ferrous Resources do Brasil Sa 
Barragem: BARRAGEM SERRINHA";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43976;-20.1746666666667;3109006;Brumadinho;MG
"Mineradora: Mib Mineração Ibirité Ltda 
Barragem: Dique - Pilha 2";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.1025638888889;-20.1298694444444;3109006;Brumadinho;MG
"Mineradora: Mib Mineração Ibirité Ltda 
Barragem: Dique - Pilha 4";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.1064697222222;-20.1230880555556;3109006;Brumadinho;MG
"Mineradora: MINERAÇÃO COMISA LTDA. 
Barragem: Dique 01";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.3198472222222;-20.1182916666667;3109006;Brumadinho;MG
"Mineradora: MINERAÇÃO COMISA LTDA. 
Barragem: Dique 02";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.3228333333333;-20.1209555555556;3109006;Brumadinho;MG
"Mineradora: MINERAÇÃO COMISA LTDA. 
Barragem: Dique 03";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.3194083333333;-20.1217277777778;3109006;Brumadinho;MG
"Mineradora: MINERAÇÃO COMISA LTDA. 
Barragem: Dique 04";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.3241555555555;-20.1194055555556;3109006;Brumadinho;MG
"Mineradora: MINERAÇÃO COMISA LTDA. 
Barragem: Dique Quéias - Captação de Água";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.3161388888889;-20.1266944444444;3109006;Brumadinho;MG
"Mineradora: Mineração Geral do Brasil S A 
Barragem: Barragem B1";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.0292222222222;-20.0648055555556;3109006;Brumadinho;MG
"Mineradora: Mineração Geral do Brasil S A 
Barragem: Barragem B2";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.0271944444444;-20.0663055555556;3109006;Brumadinho;MG
"Mineradora: Mineração Geral do Brasil S A 
Barragem: Barragem B3";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.0230277777778;-20.0674444444444;3109006;Brumadinho;MG
"Mineradora: Mineração Geral do Brasil S A 
Barragem: Dique IV";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.0215538888889;-20.0711058333333;3109006;Brumadinho;MG
"Mineradora: Mineração Morro do Ipê S.a. 
Barragem: Barragem B1 - Mina Ipê";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.3074722222222;-20.1198055555556;3109006;Brumadinho;MG
"Mineradora: Mineração Morro do Ipê S.a. 
Barragem: Dique Conquistinha";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-44.2981027777778;-20.1159;3109006;Brumadinho;MG
"Mineradora: Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba 
Barragem: Capim Branco";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.0736677777778;-20.1082727777778;3109006;Brumadinho;MG
"Mineradora: Vale S A Filial: Vale Paraopeba 
Barragem: Menezes I";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.1392222222222;-20.1196388888889;3109006;Brumadinho;MG
"Mineradora: Vale S A Filial: Vale Paraopeba 
Barragem: Menezes II";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.1382777777778;-20.1280833333333;3109006;Brumadinho;MG
"Mineradora: Vale S A Filial: Vale Paraopeba 
Barragem: VI";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.1244166666667;-20.1190555555556;3109006;Brumadinho;MG
"Mineradora: Vale S A Filial: Vale Paraopeba 
Barragem: VII";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.1196666666667;-20.1042777777778;3109006;Brumadinho;MG
"Mineradora: Vallourec Tubos do Brasil Ltda. 
Barragem: Santa Bárbara";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-44.0062222222222;-20.1618611111111;3109006;Brumadinho;MG
"Mineradora: Mineração Serras do Oeste Eireli 
Barragem: Barragem RG2W";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.6348088888889;-19.9582527777778;3110004;Caeté;MG
"Mineradora: Mineração Serras do Oeste Eireli 
Barragem: Moita";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.6490558333333;-19.9349258333333;3110004;Caeté;MG
"Mineradora: Cimento Tupi S.a. 
Barragem: BARRAGEM B1";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.8038888888889;-20.9033888888889;3113107;Caranaíba;MG
"Mineradora: Pedreira Um Valemix Ltda. 
Barragem: Dique de Captação";http://maps.google.com/mapfiles/ms/icons/red-dot.png;-43.4241388888889;-20.027475;3115359;Catas Altas;MG
"Mineradora: Vale Mariana 
Barragem: Dique IV";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4158333333333;-20.0908333333333;3115359;Catas Altas;MG
"Mineradora: Vale Mariana 
Barragem: Dique V";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4161111111111;-20.0916666666667;3115359;Catas Altas;MG
"Mineradora: Vale Mariana 
Barragem: Dique VI";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4162338888889;-20.0946027777778;3115359;Catas Altas;MG
"Mineradora: Vale Mariana 
Barragem: Dique VI-A";http://maps.google.com/mapfiles/ms/icons/yellow-dot.png;-43.4162847222222;-20.0940788888889;3115359;Catas Altas;MG
